id,kon1,kon2,kon3,kon4,kon5,kon6,kon7,kon8,kon9,kon10,kon11,kon12,kon13,kon14,kon15,kon16,kon17,nas1,nas2,nas3,nas4,nas5,nas6,nas7,nas8,nas9,nas10,nas11,nas12,nas13,nas14,nas15,nas16,nas17,rwa1,rwa2,rwa3,rwa4,rwa5,rwa6,rwa7,rwa8,rwa9,rwa10,rwa11,rwa12,rwa13,rwa14,rwa15,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,rz1,rz2,rz3,rz4,rz5,rz6,rz7,rz8,rz9,rz10,rz11,rz12,rz13,rz14,rz15,rz16,tjokowi,tprabowo,preferensi,gender
152,4,3,5,4,7,7,7,3,4,4,5,7,7,7,5,7,7,4,4,4,4,3,3,1,5,5,5,4,1,1,3,1,5,5,7,7,9,3,9,6,9,5,7,9,9,7,9,7,7,5,1,1,1,3,2,4,4,6,6,2,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,76,58,8,Perempuan
153,4,7,7,4,7,7,7,4,7,1,7,1,7,4,2,5,6,4,7,4,4,5,5,3,6,3,5,1,1,4,6,3,5,7,9,4,9,1,9,2,9,2,8,2,9,5,9,3,9,7,1,3,3,3,7,6,4,3,4,4,4,1,4,1,1,5,5,5,3,5,3,5,5,4,5,5,4,1,5,5,5,77,55,1,Perempuan
160,5,5,3,2,7,7,3,7,7,1,1,1,1,1,4,5,7,5,5,7,1,3,3,4,5,1,5,7,4,3,4,1,4,6,8,1,7,2,8,2,8,3,8,1,8,1,9,1,9,7,2,3,3,4,4,1,1,1,2,3,3,3,3,2,2,5,5,5,5,5,1,5,5,5,2,5,3,5,5,5,5,1,81,1,Laki-Laki
162,4,5,4,7,4,7,6,6,7,4,6,4,6,6,6,7,7,4,3,4,2,4,2,2,3,1,4,1,2,2,2,4,2,2,9,9,9,1,9,8,9,2,9,9,9,5,9,8,7,5,4,5,2,4,4,4,4,4,6,2,2,2,4,2,2,5,5,5,5,5,3,4,5,5,2,3,3,5,5,5,4,83,45,11,Perempuan
163,4,2,3,2,4,6,3,5,7,2,2,3,4,4,4,5,4,5,4,4,4,4,3,4,3,2,4,5,4,4,3,4,3,6,9,5,8,1,8,5,9,5,9,3,9,5,9,8,9,5,2,1,1,2,2,4,4,3,3,3,3,2,2,2,2,4,4,5,5,3,3,3,5,5,4,5,4,5,4,4,4,3,84,1,Perempuan
164,1,1,1,1,1,6,1,1,2,4,6,1,1,4,1,5,1,6,4,4,5,6,4,4,5,4,3,3,2,4,2,3,5,5,8,2,8,1,7,2,5,3,8,7,9,7,9,7,7,7,3,3,4,2,2,2,4,4,5,5,4,2,3,2,3,4,4,5,5,3,3,3,5,4,3,3,4,3,4,5,3,22,101,1,Perempuan
166,2,1,2,1,4,7,4,5,4,4,6,1,7,4,1,5,4,7,7,6,7,4,1,6,4,4,4,4,4,1,4,4,4,7,8,5,9,1,9,1,9,1,6,5,9,8,9,9,9,7,4,2,4,1,1,1,1,4,4,1,1,1,1,1,1,4,5,5,5,5,1,5,5,3,3,3,3,5,5,5,3,19,101,5,Perempuan
169,3,3,4,2,3,5,3,2,3,2,4,3,3,3,3,6,4,4,3,3,4,5,3,5,3,3,4,3,3,3,3,3,2,3,6,7,6,2,6,4,4,4,7,4,6,5,7,7,6,4,2,2,3,4,3,2,3,4,5,2,3,3,3,3,2,5,4,5,3,4,3,5,5,4,3,3,3,4,5,5,3,58,71,3,Perempuan
174,3,3,3,4,6,6,2,5,1,2,6,2,3,4,2,2,2,6,2,3,4,2,3,5,2,6,2,2,3,2,2,2,5,3,8,2,9,1,6,3,7,2,6,4,7,6,8,4,7,6,4,3,2,2,2,5,3,3,6,5,5,3,5,3,3,5,5,5,4,4,3,5,5,4,4,4,2,4,5,4,4,29,71,2,Laki-Laki
177,4,3,2,2,2,3,2,2,2,1,3,1,2,1,1,1,1,4,3,4,6,5,6,6,6,5,5,5,6,5,4,6,5,7,7,2,6,1,6,2,5,2,9,4,9,2,6,3,8,6,2,2,4,3,6,1,1,4,5,2,2,1,1,2,2,4,3,3,3,3,2,3,1,2,3,2,2,4,2,3,3,81,56,2,Laki-Laki
