id,gender,age,edu,hs1,hs2,hs3,hs4,hs5,hs6,bs1,bs2,bs3,bs4,bs5,bs6
1,2,34,3,3,2,4,2,4,5,5,4,4,3,4,4
2,2,23,4,1,4,2,2,2,1,4,4,3,4,3,3
3,1,36,4,5,4,2,3,4,4,5,5,3,4,5,4
4,1,42,3,5,5,4,6,5,3,5,4,4,4,4,3
5,1,20,2,3,1,3,3,2,3,3,3,4,4,5,3
6,2,34,3,3,3,4,3,4,2,4,5,3,3,5,3
7,1,43,2,6,5,5,5,5,5,4,5,6,5,4,4
8,2,24,4,4,4,5,4,4,3,6,5,5,5,4,4
9,1,26,2,5,4,4,5,5,5,4,5,5,5,4,4
10,2,18,4,3,3,3,3,2,2,6,5,4,3,5,6
11,2,19,2,2,1,3,2,1,3,4,2,3,2,4,2
12,1,27,5,4,3,4,3,3,2,4,4,3,4,5,5
13,1,35,2,3,2,3,3,2,2,4,2,3,4,5,4
14,2,18,3,5,4,4,4,4,3,4,3,4,3,3,3
15,1,32,3,5,4,4,4,5,4,4,4,4,5,4,4
16,1,32,5,5,3,4,3,5,4,3,4,4,4,4,2
17,1,18,1,3,3,3,4,3,3,4,3,4,5,4,4
18,2,18,4,4,2,2,2,3,3,6,4,5,4,5,4
19,2,18,5,3,4,4,3,2,2,4,4,3,4,3,5
20,1,28,3,4,4,4,5,4,5,4,4,4,4,5,3
21,1,30,2,3,3,4,4,3,3,4,5,4,4,5,3
22,2,22,3,4,3,4,4,5,4,3,4,2,3,3,3
23,2,40,4,3,3,4,3,4,4,3,3,1,3,3,4
24,1,23,4,3,2,2,3,3,3,4,4,4,4,3,2
25,1,31,4,3,3,5,3,2,4,6,4,6,5,5,5
26,1,41,2,5,5,5,4,3,4,4,5,5,4,5,2
27,2,24,4,4,3,6,5,4,4,3,5,5,5,5,4
28,1,23,3,3,3,5,2,5,4,5,5,5,4,4,4
29,1,25,4,3,3,4,3,4,3,5,4,6,6,4,5
30,1,46,3,5,4,5,4,5,6,5,3,5,4,3,4
31,1,33,5,3,2,4,2,3,5,3,2,2,3,2,1
32,2,30,4,4,4,5,4,4,4,4,4,4,5,6,5
33,2,18,5,4,4,4,2,4,4,5,5,4,4,4,5
34,2,26,5,4,4,5,3,4,3,4,3,3,4,3,3
35,1,19,3,2,3,3,3,4,4,3,5,3,2,3,2
36,1,36,2,3,3,3,3,2,4,4,3,3,3,3,4
37,1,31,2,5,4,5,4,4,4,6,3,4,3,5,2
38,1,26,2,5,4,4,5,4,4,5,6,5,5,5,4
39,1,27,5,4,3,3,4,3,5,4,3,4,3,4,3
40,2,26,1,3,4,2,3,4,4,2,4,3,3,2,3
41,2,23,4,3,3,4,4,3,4,3,5,4,4,5,5
42,1,32,4,4,2,3,4,4,4,4,2,3,4,2,1
43,2,39,4,4,2,3,3,4,4,3,3,2,4,1,2
44,1,25,3,5,4,4,3,3,4,4,3,5,5,4,3
45,2,30,2,2,3,2,2,4,1,3,3,4,3,3,4
46,1,44,4,3,4,3,2,4,4,3,3,4,2,2,4
47,1,24,5,5,6,4,5,5,4,4,4,4,3,4,6
48,1,20,3,4,3,5,4,6,5,4,5,3,4,4,4
49,1,25,3,5,6,5,4,4,5,5,5,5,4,4,3
50,1,33,2,3,4,2,4,5,3,4,3,5,4,3,4
51,2,36,4,3,4,2,4,4,1,4,5,6,5,4,5
52,2,19,2,3,1,2,2,1,1,5,5,4,4,4,5
53,1,22,5,5,5,4,5,5,4,3,5,4,4,5,5
54,1,26,5,3,3,4,3,3,3,5,5,6,5,5,3
55,2,27,4,2,3,1,4,4,4,3,2,2,3,2,4
56,1,18,4,3,4,3,4,4,5,5,3,5,4,5,3
57,2,26,4,3,4,3,4,4,4,5,5,3,5,4,4
58,2,34,2,2,4,4,2,3,2,4,4,4,5,4,4
59,2,38,4,3,3,3,3,3,3,4,4,4,5,5,4
60,1,32,3,3,4,4,4,4,5,4,6,6,5,6,6
61,1,23,4,4,3,5,4,4,4,5,4,4,5,5,3
62,1,30,4,3,5,3,4,3,3,5,6,6,5,6,6
63,1,25,4,2,4,3,4,2,2,3,3,2,2,2,3
64,1,18,2,4,6,3,4,4,4,3,4,5,4,4,4
65,1,22,4,4,4,4,4,3,3,4,3,6,5,4,4
66,2,30,3,1,2,2,3,2,2,4,4,4,4,4,4
67,1,19,2,4,5,4,4,4,5,5,5,6,5,3,5
68,1,38,4,3,4,2,3,2,3,5,5,5,5,5,6
69,1,19,4,4,4,3,4,3,3,4,4,4,3,4,4
70,1,45,2,2,4,2,4,3,3,3,4,4,4,3,3
71,1,18,4,3,3,3,3,4,4,5,4,6,5,5,5
72,1,35,3,3,5,4,3,4,4,4,4,4,4,3,4
73,2,23,3,3,2,2,2,3,3,4,3,3,4,4,4
74,1,30,4,6,4,5,4,3,4,4,4,4,4,4,2
75,1,31,4,4,5,5,6,6,6,4,5,6,6,4,6
76,1,41,2,2,4,4,3,4,2,3,4,3,3,3,3
77,1,30,4,4,4,2,4,3,3,5,4,5,4,5,4
78,1,32,5,4,5,5,4,5,3,4,4,4,4,3,4
79,2,34,2,3,3,5,4,6,6,2,3,5,3,4,4
80,2,18,3,4,2,5,6,4,3,5,5,4,4,5,5
81,2,18,5,3,2,2,2,2,1,3,3,3,3,4,4
82,1,22,2,4,3,4,4,3,5,5,4,5,4,6,5
83,2,31,4,2,1,1,2,3,2,3,2,3,2,3,3
84,1,35,4,5,3,3,3,4,4,2,4,3,4,4,3
85,1,33,4,5,4,4,4,3,3,5,4,5,3,4,4
86,2,34,4,4,4,4,4,3,5,4,5,3,5,5,4
87,2,28,4,3,3,4,3,3,3,3,4,4,4,4,5
88,1,34,4,4,6,4,4,4,6,6,3,4,5,5,5
89,2,29,2,4,4,3,4,4,4,6,6,6,5,6,5
90,2,18,2,2,3,3,2,3,2,4,4,5,4,5,5
91,1,18,4,4,4,4,4,2,3,5,5,4,5,5,5
92,1,45,2,2,4,4,4,4,3,5,6,6,6,6,4
93,1,52,4,5,6,5,5,5,4,4,4,4,4,3,2
94,1,26,1,4,6,5,5,5,3,5,6,5,6,6,4
95,2,24,4,1,2,3,2,3,3,3,4,3,5,4,6
96,2,33,4,4,3,5,5,5,4,4,4,4,5,4,4
97,1,30,3,3,4,4,3,2,1,5,5,5,5,5,4
98,2,28,2,2,4,3,2,2,2,4,5,4,3,4,2
99,1,27,3,5,5,5,3,4,5,2,4,4,5,4,4
100,1,35,4,4,3,3,4,5,2,2,4,5,4,2,4
101,1,33,5,3,4,3,3,3,3,4,2,1,3,4,2
102,1,30,3,3,4,3,3,3,4,4,4,3,3,3,4
103,2,31,4,5,3,5,4,5,3,5,4,4,5,3,4
104,1,39,3,6,4,4,4,5,6,4,5,4,3,5,5
