id,gender,age,edu,hs1,hs2,hs3,hs4,hs5,hs6,bs1,bs2,bs3,bs4,bs5,bs6,gpg1,gpg2,gpg3,gpg4
1,2,34,3,3,2,4,2,4,5,5,4,4,3,4,4,3,3,3,3
2,2,23,4,1,4,2,2,2,1,4,4,3,4,3,3,2,2,3,3
3,1,36,4,5,4,2,3,4,4,5,5,3,4,5,4,3,4,2,2
4,1,42,3,5,5,4,6,5,3,5,4,4,4,4,3,5,4,4,3
5,1,20,2,3,1,3,3,2,3,3,3,4,4,5,3,2,4,3,3
6,2,34,3,3,3,4,3,4,2,4,5,3,3,5,3,4,4,3,5
7,1,43,2,6,5,5,5,5,5,4,5,6,5,4,4,3,4,2,4
8,2,24,4,4,4,5,4,4,3,6,5,5,5,4,4,3,3,3,3
9,1,26,2,5,4,4,5,5,5,4,5,5,5,4,4,4,4,4,4
10,2,18,4,3,3,3,3,2,2,6,5,4,3,5,6,4,4,3,3
11,2,19,2,2,1,3,2,1,3,4,2,3,2,4,2,4,2,3,2
12,1,27,5,4,3,4,3,3,2,4,4,3,4,5,5,5,3,3,3
13,1,35,2,3,2,3,3,2,2,4,2,3,4,5,4,2,3,2,1
14,2,18,3,5,4,4,4,4,3,4,3,4,3,3,3,1,3,3,2
15,1,32,3,5,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4
16,1,32,5,5,3,4,3,5,4,3,4,4,4,4,2,5,2,3,2
17,1,18,1,3,3,3,4,3,3,4,3,4,5,4,4,3,3,2,3
18,2,18,4,4,2,2,2,3,3,6,4,5,4,5,4,3,1,2,2
19,2,18,5,3,4,4,3,2,2,4,4,3,4,3,5,4,2,4,3
20,1,28,3,4,4,4,5,4,5,4,4,4,4,5,3,3,3,3,3
21,1,30,2,3,3,4,4,3,3,4,5,4,4,5,3,4,4,2,4
22,2,22,3,4,3,4,4,5,4,3,4,2,3,3,3,4,4,3,3
23,2,40,4,3,3,4,3,4,4,3,3,1,3,3,4,1,3,2,2
24,1,23,4,3,2,2,3,3,3,4,4,4,4,3,2,2,2,4,3
25,1,31,4,3,3,5,3,2,4,6,4,6,5,5,5,5,3,4,4
26,1,41,2,5,5,5,4,3,4,4,5,5,4,5,2,3,2,3,3
27,2,24,4,4,3,6,5,4,4,3,5,5,5,5,4,3,4,1,3
28,1,23,3,3,3,5,2,5,4,5,5,5,4,4,4,3,3,2,3
29,1,25,4,3,3,4,3,4,3,5,4,6,6,4,5,4,4,5,5
